VietnameseName,Price
HỒNG TRÀ SỮA MIRA L,30
HỒNG TRÀ SỮA MIRA M,25
TRÀ SỮA LẮC TRÀ ĐEN L,25
TRÀ SỮA LẮC TRÀ ĐEN M,20
HỒNG TRÀ SỮA CHOCOLATE L,30
HỒNG TRÀ SỮA CHOCOLATE M,25
HỒNG TRÀ HOA HỒNG L,30
HỒNG TRÀ HOA HỒNG M,25
HỒNG TRÀ SỮA VÁNG SỮA PHÔMAI L,30
HỒNG TRÀ SỮA VÁNG SỮA PHÔMAI M,25
TRÀ SỮA LẮC TRÀ LÀI L,25
TRÀ SỮA LẮC TRÀ LÀI M,20
LỤC TRÀ SỮA HOA HỒNG L,30
LỤC TRÀ SỮA HOA HỒNG M,25
LỤC TRÀ SỮA TRÁI CÂY L,30
LỤC TRÀ SỮA TRÁI CÂY M,25
TRÀ SỮA LẮC TRÀ 0OLONG L,30
TRÀ SỮA LẮC TRÀ 0OLONG M,25
SỮA TƯƠI TRÂN CHÂU ĐƯỜNG ĐEN L,30
SỮA TƯƠI TRÂN CHÂU ĐƯỜNG ĐEN M,25
LATTE XOÀI MATCHA,30
